"course_type_id","target_name","status","note"
"209811","AHA ACLS HeartCode","submitted","clicked Update Course Type"
"241108","AHA ACLS Provider (Initial)","submitted","clicked Update Course Type"
"209818","AHA ACLS Provider (Renewal)","submitted","clicked Update Course Type"
"210549","AHA BLS HeartCode®","submitted","clicked Update Course Type"
"209806","AHA BLS Provider (Initial)","submitted","clicked Update Course Type"
"252734","AHA BLS Provider (Spanish)","submitted","clicked Update Course Type"
"359474","AHA BLS Provider (Renewal)","submitted","clicked Update Course Type"
"344085","AHA Heartsaver® CPR AED","submitted","clicked Update Course Type"
"209808","AHA Heartsaver® CPR AED Online","submitted","clicked Update Course Type"
"209809","AHA Heartsaver® First Aid CPR AED","submitted","clicked Update Course Type"
"329495","AHA Heartsaver® First Aid CPR AED – Blended","submitted","clicked Update Course Type"
"351632","AHA Heartsaver® Pediatric First Aid / CPR / AED","submitted","clicked Update Course Type"
"485317","AHA Heartsaver® Pediatric First Aid CPR AED","submitted","clicked Update Course Type"
"251545","AHA Heartsaver® Pediatric First Aid CPR AED Online","submitted","clicked Update Course Type"
"209812","AHA PALS HeartCode®","submitted","clicked Update Course Type"
"209805","AHA PALS Provider","submitted","clicked Update Course Type"
"380688","AHA PALS Provider Plus™ HeartCode®","submitted","clicked Update Course Type"
"251496","AHA PALS Renewal","submitted","clicked Update Course Type"
"369209","ARC Adult and Pediatric First Aid/CPR/AED","submitted","clicked Update Course Type"
"410694","ARC Adult and Pediatric First Aid/CPR/AED Blended Learning","submitted","clicked Update Course Type"
"248288","ARC BLS","submitted","clicked Update Course Type"
"248287","ARC BLS Blended Learning","submitted","clicked Update Course Type"
"444919","ARC BLS Challenge","submitted","clicked Update Course Type"
"440431","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing)","submitted","clicked Update Course Type"
"374378","HSI Adult First Aid | Adult CPR AED","submitted","clicked Update Course Type"
"422270","HSI Adult First Aid | Adult CPR AED","submitted","clicked Update Course Type"
"371954","HSI Adult First Aid | Adult CPR AED - Blended Learning","submitted","clicked Update Course Type"
"445670","HSI BLS and Adult First Aid | Blended Learning","submitted","clicked Update Course Type"
"463743","HSI BLS Challenge","submitted","clicked Update Course Type"
"448630","HSI BLS Provider","submitted","clicked Update Course Type"
"449422","HSI Pediatric First Aid | CPR AED - Blended","submitted","clicked Update Course Type"
