course_id,course_title,missing_price_session_count,sample_session_ids,sample_start_dates,sample_locations,sample_registration_urls,course_numbers_seen,mapping_statuses_seen,source_price_fields_inspected_summary,proposed_trusted_source_field,proposed_price,manual_review_status,manual_review_price,manual_review_source,manual_review_notes,reason_price_blank_or_null,apply_automatically
,AHA - Heartsaver® CPR AED - In-person,435,7106169|7106178|7680570|7763942|7708474|7439968|7815277|7817046|7815276|7815483,2023-01-21T09:00:00-05:00|2023-02-11T12:00:00-05:00|2023-02-22T10:30:00-05:00|2023-02-26T13:00:00-05:00|2023-02-28T12:00:00-05:00|2023-03-08T18:30:00-05:00|2023-03-10T18:00:00-05:00|2023-03-15T12:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/PVC.png"" style=""width: 100px;""></img>|:: Wilmington; Shipyard Blvd|JT|<img src=""https://images.shulcloud.com/1318/logo/1644337932.img"" style=""width: 100px;""></img><br>|Hoggard Family Dentistry|:: Holly Ridge; Sound Rd|SCFD #25 <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/SCFD.png"" style=""width: 40px;""></img>|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/HIE.png"" style=""width: 100px;""></img>  Southport",https://coastalcprtraining.enrollware.com/enroll?id=7106169|https://coastalcprtraining.enrollware.com/enroll?id=7106178|https://coastalcprtraining.enrollware.com/enroll?id=7680570|https://coastalcprtraining.enrollware.com/enroll?id=7763942|https://coastalcprtraining.enrollware.com/enroll?id=7708474,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - BLS - Become an American Heart Association Instructor,347,4279491|4347182|4347183|4387576|4470992|4470993|4470994|4470995|4553877|4423489,2020-11-18T09:00:00-05:00|2020-12-01T09:00:00-05:00|2020-12-05T09:00:00-05:00|2020-12-18T09:00:00-05:00|2021-01-08T09:00:00-05:00|2021-01-16T09:00:00-05:00|2021-01-20T09:00:00-05:00|2021-01-29T09:00:00-05:00,":: 115-3|:: Holly Ridge; Sound Rd|:: Wilmington; Shipyard Blvd|CHVFD|SCFD #25 <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/SCFD.png"" style=""width: 40px;""></img>|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Millmon.png"" style=""width: 60px;""></img><br>Jacksonville|:: 809|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cfcc.png "" style=""width: 125px;""></img><br>North Campus",https://coastalcprtraining.enrollware.com/enroll?id=4279491|https://coastalcprtraining.enrollware.com/enroll?id=4347182|https://coastalcprtraining.enrollware.com/enroll?id=4347183|https://coastalcprtraining.enrollware.com/enroll?id=4387576|https://coastalcprtraining.enrollware.com/enroll?id=4470992,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Family & Friends® CPR,324,4257944|4257945|4257946|4257953|4257952|4257954|4601622|4601621|4639175|4881479,2020-11-14T09:30:00-05:00|2020-11-14T10:00:00-05:00|2020-11-14T10:30:00-05:00|2020-11-14T11:00:00-05:00|2020-11-14T11:30:00-05:00|2020-11-14T12:00:00-05:00|2021-02-16T09:30:00-05:00|2021-02-16T18:00:00-05:00,":: Long Leaf Park|St. Stanislaus Catholic Church|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/GRC.png "" style=""width: 125px;""></img>|:: Wilmington; Shipyard Blvd|OCPL|:: Holly Ridge; Sound Rd|Topsail Kiwanis|Topsail Realtors",https://coastalcprtraining.enrollware.com/enroll?id=4257944|https://coastalcprtraining.enrollware.com/enroll?id=4257945|https://coastalcprtraining.enrollware.com/enroll?id=4257946|https://coastalcprtraining.enrollware.com/enroll?id=4257953|https://coastalcprtraining.enrollware.com/enroll?id=4257952,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,C̯͍̖̠̦̍ͩ̋́͗A̘͈͎̅̚R̐D̗I̙̪̎O̻̺͍̣̬ͬ͋̓P͑͒̆̑̄A̯͇̔̓͂R̬̙͈̗̭̍̊̉Ť͔̭͍̓̓ͭN͍̰̬͖̈E͍͙ͩ̇̎̃R̗̳̹͎̺S̻ͅ ̣̬̃̊͊̽ͫ,289,4691719|4691731|4692995|5428701|4691779|4691790|4691799|4691818|4691828|4691833,2021-01-25T09:30:00-05:00|2021-01-27T10:00:00-05:00|2021-01-27T13:00:00-05:00|2021-02-01T09:00:00-05:00|2021-02-02T09:00:00-05:00|2021-02-02T13:00:00-05:00|2021-02-03T09:00:00-05:00|2021-02-03T14:00:00-05:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Lowes.png"" style=""width: 40px;""></img> N. Myrtle Bch|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walgreens.png"" style=""width: 20px;""></img> Morrisville / District|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walgreens.png"" style=""width: 20px;""></img> Leland / Village|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Lowes.png"" style=""width: 40px;""></img> Hope Mills|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walgreens.png"" style=""width: 20px;""></img> Fairmont|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/CVS.png"" style=""width: 40px;""></img> Hartsville, SC|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/CVS.png"" style=""width: 40px;""></img> Morrisville, NC|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/Walmart.png"" style=""width: 40px;""></img>WM 1037: SUMMERVILLE, SC",https://coastalcprtraining.enrollware.com/enroll?id=4691719|https://coastalcprtraining.enrollware.com/enroll?id=4691731|https://coastalcprtraining.enrollware.com/enroll?id=4692995|https://coastalcprtraining.enrollware.com/enroll?id=5428701|https://coastalcprtraining.enrollware.com/enroll?id=4691779,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Take your AHA CPR programs online!,223,3971114|4247347|4423340|4423371|4423417|4423418|4423387|4423419|4423402|4423424,2020-07-20T18:00:00-04:00|2020-10-30T09:00:00-04:00|2020-12-15T11:00:00-05:00|2020-12-16T11:00:00-05:00|2020-12-17T16:00:00-05:00|2020-12-18T16:00:00-05:00|2020-12-19T11:00:00-05:00|2020-12-19T16:00:00-05:00,"{'location_name': None, 'location_display': None, 'client': None}|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/may-logo.png"" style=""width: 100px;""></img>|:: 115-3|:: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd",https://coastalcprtraining.enrollware.com/enroll?id=3971114|https://coastalcprtraining.enrollware.com/enroll?id=4247347|https://coastalcprtraining.enrollware.com/enroll?id=4423340|https://coastalcprtraining.enrollware.com/enroll?id=4423371|https://coastalcprtraining.enrollware.com/enroll?id=4423417,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,196,4028031|4028032|4028033|4028034|4028035|3881518|4028036|4138159|4138160|4138161,2020-08-21T13:00:00-04:00|2020-08-28T13:00:00-04:00|2020-09-04T13:00:00-04:00|2020-09-11T13:00:00-04:00|2020-09-18T13:00:00-04:00|2020-09-25T13:00:00-04:00|2020-10-02T13:00:00-04:00|2020-10-09T13:00:00-04:00,:: 115-3|:: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd|Jacksonville: Catalyst Church,https://coastalcprtraining.enrollware.com/enroll?id=4028031|https://coastalcprtraining.enrollware.com/enroll?id=4028032|https://coastalcprtraining.enrollware.com/enroll?id=4028033|https://coastalcprtraining.enrollware.com/enroll?id=4028034|https://coastalcprtraining.enrollware.com/enroll?id=4028035,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AED Maintenance Program,147,4780503|7183651|7870597|7908972|7909056|7909057|8145682|8000121|8145523|8145385,2021-04-15T09:30:00-04:00|2022-11-28T08:00:00-05:00|2023-04-05T12:00:00-04:00|2023-04-12T10:00:00-04:00|2023-04-12T10:30:00-04:00|2023-04-12T11:00:00-04:00|2023-06-26T07:00:00-04:00|2023-06-26T07:30:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/GRC.png "" style=""width: 125px;""></img>|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BalfourBe.png"" style=""width: 100px;""></img><br>Rincon|Ogden Park|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/HomeDepot.png"" style=""width: 40px;""></img> Murrells Inlet, SC|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/HomeDepot.png"" style=""width: 40px;""></img> Myrtle Beach|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/HomeDepot.png"" style=""width: 40px;""></img>  North Myrtle Beach|St. Stanislaus Catholic Church|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BalfourBe.png"" style=""width: 100px;""></img><br>Wilmington Regional Office",https://coastalcprtraining.enrollware.com/enroll?id=4780503|https://coastalcprtraining.enrollware.com/enroll?id=7183651|https://coastalcprtraining.enrollware.com/enroll?id=7870597|https://coastalcprtraining.enrollware.com/enroll?id=7908972|https://coastalcprtraining.enrollware.com/enroll?id=7909056,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Heartsaver® First Aid (No CPR AED) - Online c̄ In-person Skills [AHA],124,3740043|4479709|4524431|5466961|5485084|5519083|5958461|7612697|7815103|7815104,2020-04-01T11:00:00-04:00|2021-01-08T09:00:00-05:00|2021-01-22T13:00:00-05:00|2021-10-30T11:30:00-04:00|2021-11-05T13:00:00-04:00|2021-11-15T11:00:00-05:00|2022-01-31T13:30:00-05:00|2023-02-13T12:00:00-05:00,"{'location_name': None, 'location_display': None, 'client': None}|:: 115-3|:: Wilmington; Shipyard Blvd",https://coastalcprtraining.enrollware.com/enroll?id=3740043|https://coastalcprtraining.enrollware.com/enroll?id=4479709|https://coastalcprtraining.enrollware.com/enroll?id=4524431|https://coastalcprtraining.enrollware.com/enroll?id=5466961|https://coastalcprtraining.enrollware.com/enroll?id=5485084,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,BLS Provider (NHCSO),89,6209902|6207503|6218505|6250887|6250890|6250896|6251316|6251327|6252180|6252183,2022-03-29T13:00:00-04:00|2022-03-31T13:00:00-04:00|2022-04-07T13:00:00-04:00|2022-04-14T13:00:00-04:00|2022-04-21T13:00:00-04:00|2022-04-28T13:00:00-04:00|2022-05-05T13:00:00-04:00|2022-05-12T13:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cfcc.png "" style=""width: 125px;""></img><br>North Campus|NHCSO|:: Wilmington; Shipyard Blvd",https://coastalcprtraining.enrollware.com/enroll?id=6209902|https://coastalcprtraining.enrollware.com/enroll?id=6207503|https://coastalcprtraining.enrollware.com/enroll?id=6218505|https://coastalcprtraining.enrollware.com/enroll?id=6250887|https://coastalcprtraining.enrollware.com/enroll?id=6250890,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,z Personal Event - Not Availible,85,5222914|7238916|7304598|7311790|7459357|7443884|7637976|7541610|7804013|8486191,2021-09-26T14:00:00-04:00|2022-12-01T14:00:00-05:00|2022-12-16T12:00:00-05:00|2022-12-17T16:30:00-05:00|2023-01-28T14:00:00-05:00|2023-02-14T08:30:00-05:00|2023-02-15T19:15:00-05:00|2023-02-17T08:00:00-05:00,"___TBD___|:: 809|{'location_name': None, 'location_display': None, 'client': None}|:: Wilmington; Shipyard Blvd|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/REZ.jpg"" style=""width:150px;""></img>Residence|Ogden Park|PEMS&F|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ADR.png"" style=""width: 40px;""></img>&nbsp;&nbsp;A•D•R F-R",https://coastalcprtraining.enrollware.com/enroll?id=5222914|https://coastalcprtraining.enrollware.com/enroll?id=7238916|https://coastalcprtraining.enrollware.com/enroll?id=7304598|https://coastalcprtraining.enrollware.com/enroll?id=7311790|https://coastalcprtraining.enrollware.com/enroll?id=7459357,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
355327,AHA Heartsaver First Aid CPR AED,32,7853817|7763887|8006147|8006149|7881541|8083935|8110626|8257099|8291584|8025813,2023-03-10T09:00:00-05:00|2023-03-25T09:15:00-04:00|2023-05-03T17:30:00-04:00|2023-05-05T18:00:00-04:00|2023-05-13T10:00:00-04:00|2023-06-02T09:00:00-04:00|2023-06-04T09:00:00-04:00|2023-07-22T08:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/tff.png"" style=""width: 200px;""></img>|SCFD #25 <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/SCFD.png"" style=""width: 40px;""></img>|River Run Clubhouse|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/ADR.png"" style=""width: 40px;""></img>&nbsp;&nbsp;A•D•R F-R|:: Wilmington; Shipyard Blvd|<img src=""https://www.seaturtlehospital.org/uploads/1/3/2/8/132883825/published/logo.png"" style=""width: 150px;""></img>|GLOW|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/GbC.png"" style=""width: 100px;""></img><br>@ South Topsail Elem Sch",https://coastalcprtraining.enrollware.com/enroll?id=7853817|https://coastalcprtraining.enrollware.com/enroll?id=7763887|https://coastalcprtraining.enrollware.com/enroll?id=8006147|https://coastalcprtraining.enrollware.com/enroll?id=8006149|https://coastalcprtraining.enrollware.com/enroll?id=7881541,355327,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - BLS Instructor Renewal,23,10009253|10009255|11341055|10009256|10009257|12352134|12352251|12352252|12352253|12352254,2024-10-01T00:00:00-04:00|2025-03-01T00:00:00-05:00|2025-07-01T00:00:00-04:00|2025-08-01T00:00:00-04:00|2025-10-01T00:00:00-04:00|2025-10-08T18:00:00-04:00|2025-10-10T18:00:00-04:00|2025-10-13T18:00:00-04:00,:: Wilmington; Shipyard Blvd|:: Burgaw; 111 S Wright St,https://coastalcprtraining.enrollware.com/enroll?id=10009253|https://coastalcprtraining.enrollware.com/enroll?id=10009255|https://coastalcprtraining.enrollware.com/enroll?id=11341055|https://coastalcprtraining.enrollware.com/enroll?id=10009256|https://coastalcprtraining.enrollware.com/enroll?id=10009257,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person,21,7657438|7694353|7825663|7832897|7694411|7863630|7903202|8042504|8122905|8132704,2023-02-13T16:30:00-05:00|2023-03-02T16:30:00-05:00|2023-03-16T16:00:00-04:00|2023-03-20T17:00:00-04:00|2023-03-21T16:00:00-04:00|2023-03-30T16:30:00-04:00|2023-04-10T17:00:00-04:00|2023-05-12T16:30:00-04:00,":: CT - Oak Ridge Dr, Colchester|:: Colchester Town Hall|:: CT - Colchester|Quality Care; Salem, CT|Enchanted Jungle Daycare, 67 Hayward Ave, Colchester,  CT 06415|:: Wilmington; Shipyard Blvd|Skyline Center",https://coastalcprtraining.enrollware.com/enroll?id=7657438|https://coastalcprtraining.enrollware.com/enroll?id=7694353|https://coastalcprtraining.enrollware.com/enroll?id=7825663|https://coastalcprtraining.enrollware.com/enroll?id=7832897|https://coastalcprtraining.enrollware.com/enroll?id=7694411,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,Heartsaver® TOTAL In-Person,17,7273067|7272994|7273054|7272962|7273020|7273064|7272989|7273070|7273065|7272990,2022-12-03T11:00:00-05:00|2022-12-03T17:30:00-05:00|2022-12-05T11:00:00-05:00|2022-12-05T17:30:00-05:00|2022-12-07T18:30:00-05:00|2022-12-12T11:00:00-05:00|2022-12-12T17:30:00-05:00|2022-12-17T11:00:00-05:00,:: Wilmington; Shipyard Blvd|:: Holly Ridge; Sound Rd,https://coastalcprtraining.enrollware.com/enroll?id=7273067|https://coastalcprtraining.enrollware.com/enroll?id=7272994|https://coastalcprtraining.enrollware.com/enroll?id=7273054|https://coastalcprtraining.enrollware.com/enroll?id=7272962|https://coastalcprtraining.enrollware.com/enroll?id=7273020,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,BLS Provider (On-site; Group; Fully In-person),16,9240508|9346010|9380068|9684172|9846798|9887035|9945926|10071005|9994485|9887117,2024-03-05T19:00:00-05:00|2024-05-11T13:00:00-04:00|2024-06-01T10:00:00-04:00|2024-06-05T07:45:00-04:00|2024-07-10T16:30:00-04:00|2024-07-15T18:30:00-04:00|2024-07-19T14:00:00-04:00|2024-08-09T12:00:00-04:00,"<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/cd.png "" style=""width: 125px;""></img><br>Wilmington / The Pointe|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/RFD.png"" style=""width: 75px;""></img><br>Gallery Park|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/CSC.png"" style=""width: 75px;""></img><br>&nbsp;&nbsp;Wilmington|Dental Care at Leland Town Center|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/BA.png"" style=""width:75px;""></img><br> Mayfair|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/KCar.png"" style=""width: 100px;""></img><br>|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/PBH.png"" style=""width: 150px;""></img><br>Country CLub Dr, Jacksonville|<img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/Logo/eld.jpg"" style=""width: 125px;""></img><br>Wilmington / N.College Rd",https://coastalcprtraining.enrollware.com/enroll?id=9240508|https://coastalcprtraining.enrollware.com/enroll?id=9346010|https://coastalcprtraining.enrollware.com/enroll?id=9380068|https://coastalcprtraining.enrollware.com/enroll?id=9684172|https://coastalcprtraining.enrollware.com/enroll?id=9846798,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
,AHA - RCP para Familiares y Amigos,13,4123133|4146397|4146398|4146400|4146399|4146401|4257960|4257961|4257962|4257963,2020-10-18T13:00:00-04:00|2020-10-18T13:30:00-04:00|2020-10-18T14:00:00-04:00|2020-10-18T14:30:00-04:00|2020-10-18T15:00:00-04:00|2020-10-18T15:30:00-04:00|2020-11-14T09:00:00-05:00|2020-11-14T09:30:00-05:00,Wallace Woman’s Club|:: Long Leaf Park,https://coastalcprtraining.enrollware.com/enroll?id=4123133|https://coastalcprtraining.enrollware.com/enroll?id=4146397|https://coastalcprtraining.enrollware.com/enroll?id=4146398|https://coastalcprtraining.enrollware.com/enroll?id=4146400|https://coastalcprtraining.enrollware.com/enroll?id=4146399,,unmapped,commerce.price: all blank/null; session.price: all blank/null; course.price_hint: all blank/null; course.mapped_price: all blank/null; session.mapped_price: all blank/null,Class Report.xlsx -> normalized commerce.price,,needs_manual_review,,,Leave offers.price blank unless Class Report.xlsx or another approved source provides a reliable price for this group/session.,source price is blank and course is unmapped; no reliable course-price mapping can be applied,no
